instancia,metodo,segundos,costo
e20200,ILS,0.25,50055.00
e20200,LNS,0.25,28926.00
e20200,ILS,0.50,50014.00
e20200,LNS,0.50,28873.00
e20200,ILS,1.00,50007.00
e20200,LNS,1.00,28838.00
e20200,ILS,2.00,50007.00
e20200,LNS,2.00,28811.00
e20200,ILS,3.00,50007.00
e20200,LNS,3.00,28811.00
e20200,ILS,5.00,50007.00
e20200,LNS,5.00,28799.00
e20200,ILS,8.00,50007.00
e20200,LNS,8.00,28799.00
e20200,ILS,10.00,50007.00
e20200,LNS,10.00,28799.00
real,ILS,1.00,692.90
real,LNS,1.00,694.30
real,ILS,2.00,690.40
real,LNS,2.00,690.90
real,ILS,5.00,689.50
real,LNS,5.00,687.70
real,ILS,10.00,686.20
real,LNS,10.00,686.00
real,ILS,20.00,683.70
real,LNS,20.00,684.20
real,ILS,30.00,682.90
real,LNS,30.00,683.60
real,ILS,45.00,682.40
real,LNS,45.00,682.70
real,ILS,60.00,682.30
real,LNS,60.00,682.30
