instancia,grupo,metaheuristica,parametro,valor,segundos,semillas,costo_mejor,costo_peor,costo_medio,desvio,tiempo_medio_s
b10200,b,ILS,fuerza,5,2.00,5,7010.00,7039.00,7020.20,10.91,2.01
b10200,b,ILS,fuerza,10,2.00,5,7007.00,7025.00,7015.40,7.23,2.01
b10200,b,ILS,fuerza,20,2.00,5,6996.00,7022.00,7009.80,9.68,2.01
b10200,b,ILS,fuerza,40,2.00,5,7008.00,7026.00,7017.20,6.05,2.01
b10200,b,LNS,destruir,20,2.00,5,5735.00,5864.00,5764.80,50.20,2.02
b10200,b,LNS,destruir,50,2.00,5,6031.00,6157.00,6126.20,47.98,2.01
b10200,b,LNS,destruir,100,2.00,5,6320.00,6555.00,6450.60,75.48,2.02
e15900,e,ILS,fuerza,5,10.00,5,617389.00,617389.00,617389.00,0.00,10.82
e15900,e,ILS,fuerza,10,10.00,5,617372.00,617385.00,617379.40,4.18,10.82
e15900,e,ILS,fuerza,20,10.00,5,617375.00,617389.00,617382.80,5.00,10.83
e15900,e,ILS,fuerza,40,10.00,5,617364.00,617380.00,617375.20,5.88,10.78
e15900,e,LNS,destruir,20,10.00,5,351670.00,410699.00,383535.40,22801.34,10.82
e15900,e,LNS,destruir,50,10.00,5,359196.00,377485.00,370076.40,6752.12,11.06
e15900,e,LNS,destruir,100,10.00,5,395231.00,413222.00,404397.80,6746.28,11.10
real,r,ILS,fuerza,5,60.00,5,684.50,685.60,685.34,0.42,60.14
real,r,ILS,fuerza,10,60.00,5,683.50,684.50,684.02,0.32,60.14
real,r,ILS,fuerza,20,60.00,5,682.30,684.80,683.56,0.95,60.14
real,r,ILS,fuerza,40,60.00,5,683.00,684.60,683.60,0.57,60.16
real,r,LNS,destruir,20,60.00,5,686.50,688.60,687.48,0.81,60.13
real,r,LNS,destruir,50,60.00,5,682.40,684.40,683.08,0.73,60.13
real,r,LNS,destruir,100,60.00,5,682.30,683.70,682.90,0.52,60.14
