instancia,grupo,n,constructiva_costo,vnd_costo,ils_mejor,ils_peor,ils_medio,ils_desvio,ils_tiempo_medio_s,lns_mejor,lns_peor,lns_medio,lns_desvio,lns_tiempo_medio_s,mejor_encontrado,gap_constructiva_pct,gap_vnd_pct,gap_ils_pct,gap_lns_pct
a05100,a,100,1694.00,1694.00,1694.00,1694.00,1694.00,0.00,2.00,1694.00,1694.00,1694.00,0.00,2.00,1694.00,0.00,0.00,0.00,0.00
a05200,a,200,3235.00,3235.00,3235.00,3235.00,3235.00,0.00,2.02,3235.00,3235.00,3235.00,0.00,2.02,3235.00,0.00,0.00,0.00,0.00
a10100,a,100,1358.00,1358.00,1358.00,1358.00,1358.00,0.00,2.00,1358.00,1358.00,1358.00,0.00,2.00,1358.00,0.00,0.00,0.00,0.00
a10200,a,200,2623.00,2623.00,2623.00,2623.00,2623.00,0.00,2.19,2623.00,2623.00,2623.00,0.00,2.01,2623.00,0.00,0.00,0.00,0.00
a20100,a,100,1158.00,1157.00,1157.00,1157.00,1157.00,0.00,2.00,1157.00,1157.00,1157.00,0.00,2.00,1157.00,0.09,0.00,0.00,0.00
a20200,a,200,2340.00,2340.00,2340.00,2340.00,2340.00,0.00,2.01,2340.00,2340.00,2340.00,0.00,2.00,2340.00,0.00,0.00,0.00,0.00
b05100,b,100,5473.00,5461.00,5336.00,5391.00,5353.60,20.22,2.00,4270.00,4396.00,4329.20,54.62,2.00,4270.00,28.17,27.89,24.96,0.00
b05200,b,200,8703.00,8396.00,8381.00,8381.00,8381.00,0.00,2.02,7459.00,7482.00,7468.80,8.80,2.02,7459.00,16.68,12.56,12.36,0.00
b10100,b,100,3461.00,3324.00,3165.00,3179.00,3172.00,5.10,2.13,2889.00,2997.00,2935.80,49.31,2.00,2889.00,19.80,15.06,9.55,0.00
b10200,b,200,7551.00,7179.00,6996.00,7022.00,7009.80,9.68,2.01,5735.00,5864.00,5764.80,50.20,2.02,5735.00,31.67,25.18,21.99,0.00
b20100,b,100,3157.00,2605.00,2436.00,2451.00,2445.60,5.39,2.00,2278.00,2283.00,2280.20,1.72,2.00,2278.00,38.59,14.35,6.94,0.00
b20200,b,200,4945.00,4491.00,4330.00,4343.00,4337.40,4.72,2.01,4011.00,4025.00,4020.60,5.00,2.01,4011.00,23.29,11.97,7.95,0.00
e05100,e,100,23799.00,22689.00,22625.00,22689.00,22660.80,22.65,2.00,13626.00,13666.00,13657.40,15.74,2.00,13626.00,74.66,66.51,66.04,0.00
e05200,e,200,57228.00,53104.00,52595.00,52912.00,52793.40,120.09,2.15,30994.00,33952.00,31601.20,1175.47,2.03,30994.00,84.64,71.34,69.69,0.00
e10100,e,100,24261.00,21079.00,18142.00,18232.00,18173.60,30.69,2.00,12061.00,15019.00,13838.20,1439.68,2.16,12061.00,101.15,74.77,50.42,0.00
e10200,e,200,61811.00,61127.00,60721.00,60984.00,60846.80,98.13,2.02,30455.00,33479.00,32256.60,1456.50,2.02,30455.00,102.96,100.71,99.38,0.00
e10400,e,400,249218.00,248579.00,248566.00,248566.00,248566.00,0.00,10.08,102683.00,111706.00,106892.80,4042.31,10.10,102683.00,142.71,142.08,142.07,0.00
e20100,e,100,2420.00,2420.00,2393.00,2394.00,2393.20,0.40,2.00,2393.00,2393.00,2393.00,0.00,2.12,2393.00,1.13,1.13,0.00,0.00
e20200,e,200,54165.00,50835.00,49921.00,50286.00,50026.00,133.33,2.01,28811.00,28884.00,28838.20,26.21,2.01,28811.00,88.00,76.44,73.27,0.00
e20400,e,400,232167.00,231056.00,231050.00,231056.00,231054.80,2.40,10.05,90573.00,96665.00,94247.60,2247.08,10.06,90573.00,156.33,155.10,155.10,0.00
e40400,e,400,180792.00,173226.00,172676.00,173016.00,172820.20,143.46,10.03,91485.00,97461.00,94991.60,2212.34,10.03,91485.00,97.62,89.35,88.75,0.00
e15900,e,900,620956.00,617389.00,617375.00,617389.00,617383.20,5.38,10.80,351670.00,423046.00,387206.20,27002.29,11.04,351670.00,76.57,75.56,75.56,0.00
e30900,e,900,537376.00,536413.00,536274.00,536320.00,536304.80,16.65,10.21,291476.00,318313.00,303873.00,9935.23,10.31,291476.00,84.36,84.03,83.99,0.00
e60900,e,900,478813.00,465466.00,465397.00,465420.00,465406.60,10.19,10.13,222028.00,240130.00,235097.80,6934.16,10.16,222028.00,115.65,109.64,109.61,0.00
e201600,e,1600,1068989.00,1065533.00,1065484.00,1065511.00,1065498.20,9.37,63.44,686373.00,712729.00,697080.20,9181.20,66.69,686373.00,55.74,55.24,55.23,0.00
e401600,e,1600,1012219.00,1010194.00,1010098.00,1010166.00,1010137.00,23.13,61.02,505260.00,530107.00,517601.00,10203.82,61.45,505260.00,100.34,99.94,99.92,0.00
e801600,e,1600,931184.00,927685.00,927531.00,927571.00,927550.20,17.28,60.61,400858.00,419477.00,409987.80,7028.47,60.80,400858.00,132.30,131.42,131.39,0.00
real,r,1100,718.00,695.50,682.30,684.80,683.56,0.95,60.14,682.30,683.70,682.90,0.52,60.14,682.30,5.23,1.93,0.00,0.00
